station_type,material_name,material_required
Orbital - Installation - Pirate Base,Insulating Membrane,95
Orbital - Installation - Mining Outpost,Insulating Membrane,129
Orbital - Installation - Relay Station,Insulating Membrane,122
Orbital - Installation - Military,Insulating Membrane,178
Orbital - Installation - Security Station,Insulating Membrane,183
Orbital - Installation - Government,Insulating Membrane,247
Orbital - Installation - Medical,Insulating Membrane,309
Orbital - Installation - Research Station,Insulating Membrane,314
Orbital - Installation - Tourist,Insulating Membrane,259
Orbital - Installation - Space Bar,Insulating Membrane,249
Orbital - Installation - Mining Outpost,H.E. Suits,13
Orbital - Installation - Medical,H.E. Suits,25
Orbital - Installation - Research Station,H.E. Suits,32
Surface - Settlement - Extraction T1 S,H.E. Suits,15
Surface - Settlement - Extraction T1 M,H.E. Suits,30
Surface - Settlement - Extraction T2 L,H.E. Suits,45
Surface - Settlement - Industrial T1 S,H.E. Suits,14
Surface - Settlement - Industrial T1 M,H.E. Suits,28
Surface - Settlement - Industrial T2 L,H.E. Suits,42
Surface - Settlement - Research Bio T1 S,H.E. Suits,27
Surface - Settlement - Research Bio T1 M,H.E. Suits,54
Surface - Settlement - Research Bio T2 L,H.E. Suits,81
Surface - Hub - Extraction,H.E. Suits,126
Surface - Hub - Exploration,H.E. Suits,249
Surface - Hub - Scientific,H.E. Suits,156
Surface - Hub - Refinery,H.E. Suits,117
Surface - Hub - Industrial,H.E. Suits,83
Orbital - Installation - Space Farm,Grain,92
Surface - Settlement - Agriculture T1 S,Grain,77
Surface - Settlement - Agriculture T1 M,Grain,154
Surface - Settlement - Agriculture T2 L,Grain,231
Orbital - Installation - Mining Outpost,Geological Equipment,26
Orbital - Installation - Research Station,Geological Equipment,26
Surface - Settlement - Extraction T1 S,Geological Equipment,52
Surface - Settlement - Extraction T1 M,Geological Equipment,104
Surface - Settlement - Extraction T2 L,Geological Equipment,156
Surface - Settlement - Research Bio T1 S,Geological Equipment,27
Surface - Settlement - Research Bio T1 M,Geological Equipment,54
Surface - Settlement - Research Bio T2 L,Geological Equipment,81
Surface - Hub - Extraction,Geological Equipment,210
Surface - Hub - Exploration,Geological Equipment,621
Surface - Hub - Scientific,Geological Equipment,401
Orbital - Starport - Coriolis,Fruit and Vegetables,145
Orbital - Starport - Asteroid Base,Fruit and Vegetables,145
Orbital - Starport - Ocellus,Fruit and Vegetables,290
Orbital - Starport - Orbis,Fruit and Vegetables,290
Orbital - Outpost - Commercial,Fruit and Vegetables,50
Orbital - Outpost - Industrial,Fruit and Vegetables,50
Orbital - Outpost - Criminal,Fruit and Vegetables,50
Orbital - Outpost - Civilian,Fruit and Vegetables,50
Orbital - Outpost - Scientific,Fruit and Vegetables,50
Orbital - Outpost - Military,Fruit and Vegetables,50
Orbital - Installation - Satellite,Fruit and Vegetables,9
Orbital - Installation - Comm Station,Fruit and Vegetables,9
Orbital - Installation - Space Farm,Fruit and Vegetables,69
Orbital - Installation - Pirate Base,Fruit and Vegetables,16
Orbital - Installation - Mining Outpost,Fruit and Vegetables,18
Orbital - Installation - Relay Station,Fruit and Vegetables,10
Orbital - Installation - Military,Fruit and Vegetables,48
Orbital - Installation - Security Station,Fruit and Vegetables,13
Orbital - Installation - Government,Fruit and Vegetables,37
Orbital - Installation - Medical,Fruit and Vegetables,50
Orbital - Installation - Research Station,Fruit and Vegetables,26
Orbital - Installation - Tourist,Fruit and Vegetables,65
Orbital - Installation - Space Bar,Fruit and Vegetables,38
Surface - Planetary Port - Outpost Civilian,Fruit and Vegetables,95
Surface - Planetary Port - Outpost Industrial,Fruit and Vegetables,95
Surface - Planetary Port - Outpost Scientific,Fruit and Vegetables,95
Surface - Planetary Port - Port,Fruit and Vegetables,380
Surface - Settlement - Agriculture T1 S,Fruit and Vegetables,63
Surface - Settlement - Agriculture T1 M,Fruit and Vegetables,126
Surface - Settlement - Agriculture T2 L,Fruit and Vegetables,189
Surface - Settlement - Extraction T1 S,Fruit and Vegetables,30
Surface - Settlement - Extraction T1 M,Fruit and Vegetables,60
Surface - Settlement - Extraction T2 L,Fruit and Vegetables,90
Surface - Settlement - Industrial T1 S,Fruit and Vegetables,28
Surface - Settlement - Industrial T1 M,Fruit and Vegetables,56
Surface - Settlement - Industrial T2 L,Fruit and Vegetables,84
Surface - Settlement - Military T1 S,Fruit and Vegetables,24
Surface - Settlement - Military T1 M,Fruit and Vegetables,48
Surface - Settlement - Military T2 L,Fruit and Vegetables,72
Surface - Settlement - Research Bio T1 S,Fruit and Vegetables,27
Surface - Settlement - Research Bio T1 M,Fruit and Vegetables,54
Surface - Settlement - Research Bio T2 L,Fruit and Vegetables,81
Surface - Settlement - Tourism T1 S,Fruit and Vegetables,71
Surface - Settlement - Tourism T1 M,Fruit and Vegetables,142
Surface - Settlement - Tourism T2 L,Fruit and Vegetables,213
Surface - Hub - Extraction,Fruit and Vegetables,34
Surface - Hub - Civilian,Fruit and Vegetables,42
Surface - Hub - Exploration,Fruit and Vegetables,36
Surface - Hub - Outpost,Fruit and Vegetables,87
Surface - Hub - Scientific,Fruit and Vegetables,36
Surface - Hub - Military,Fruit and Vegetables,42
Surface - Hub - Refinery,Fruit and Vegetables,38
Surface - Hub - High Tech,Fruit and Vegetables,36
Surface - Hub - Industrial,Fruit and Vegetables,34
Orbital - Starport - Coriolis,Food Cartridges,242
Orbital - Starport - Asteroid Base,Food Cartridges,242
Orbital - Starport - Ocellus,Food Cartridges,484
Orbital - Starport - Orbis,Food Cartridges,484
Orbital - Outpost - Commercial,Food Cartridges,94
Orbital - Outpost - Industrial,Food Cartridges,94
Orbital - Outpost - Criminal,Food Cartridges,94
Orbital - Outpost - Civilian,Food Cartridges,94
Orbital - Outpost - Scientific,Food Cartridges,94
Orbital - Outpost - Military,Food Cartridges,94
Orbital - Installation - Satellite,Food Cartridges,26
Orbital - Installation - Comm Station,Food Cartridges,26
Orbital - Installation - Space Farm,Food Cartridges,46
Orbital - Installation - Pirate Base,Food Cartridges,61
Orbital - Installation - Mining Outpost,Food Cartridges,52
Orbital - Installation - Relay Station,Food Cartridges,30
Orbital - Installation - Military,Food Cartridges,107
Orbital - Installation - Security Station,Food Cartridges,37
Orbital - Installation - Government,Food Cartridges,93
Orbital - Installation - Medical,Food Cartridges,75
Orbital - Installation - Research Station,Food Cartridges,76
Surface - Planetary Port - Outpost Civilian,Food Cartridges,136
Surface - Planetary Port - Outpost Industrial,Food Cartridges,136
Surface - Planetary Port - Outpost Scientific,Food Cartridges,136
Surface - Planetary Port - Port,Food Cartridges,544
Surface - Settlement - Agriculture T1 S,Food Cartridges,42
Surface - Settlement - Agriculture T1 M,Food Cartridges,84
Surface - Settlement - Agriculture T2 L,Food Cartridges,126
Surface - Settlement - Extraction T1 S,Food Cartridges,45
Surface - Settlement - Extraction T1 M,Food Cartridges,90
Surface - Settlement - Extraction T2 L,Food Cartridges,135
Surface - Settlement - Industrial T1 S,Food Cartridges,41
Surface - Settlement - Industrial T1 M,Food Cartridges,82
Surface - Settlement - Industrial T2 L,Food Cartridges,123
Surface - Settlement - Military T1 S,Food Cartridges,36
Surface - Settlement - Military T1 M,Food Cartridges,72
Surface - Settlement - Military T2 L,Food Cartridges,108
Surface - Settlement - Research Bio T1 S,Food Cartridges,41
Surface - Settlement - Research Bio T1 M,Food Cartridges,82
Surface - Settlement - Research Bio T2 L,Food Cartridges,123
Surface - Hub - Extraction,Food Cartridges,51
Surface - Hub - Civilian,Food Cartridges,68
Surface - Hub - Exploration,Food Cartridges,54
Surface - Hub - Outpost,Food Cartridges,174
Surface - Hub - Scientific,Food Cartridges,54
Surface - Hub - Military,Food Cartridges,125
Surface - Hub - Refinery,Food Cartridges,56
Surface - Hub - High Tech,Food Cartridges,54
Surface - Hub - Industrial,Food Cartridges,50
Orbital - Installation - Tourist,Fish,39
Orbital - Installation - Space Bar,Fish,19
Surface - Settlement - Tourism T1 S,Fish,36
Surface - Settlement - Tourism T1 M,Fish,72
Surface - Settlement - Tourism T2 L,Fish,108
Surface - Planetary Port - Outpost Civilian,Evacuation Shelter,204
Surface - Planetary Port - Outpost Industrial,Evacuation Shelter,204
Surface - Planetary Port - Outpost Scientific,Evacuation Shelter,204
Surface - Planetary Port - Port,Evacuation Shelter,816
Surface - Settlement - Agriculture T1 S,Evacuation Shelter,14
Surface - Settlement - Agriculture T1 M,Evacuation Shelter,28
Surface - Settlement - Agriculture T2 L,Evacuation Shelter,42
Surface - Settlement - Extraction T1 S,Evacuation Shelter,30
Surface - Settlement - Extraction T1 M,Evacuation Shelter,60
Surface - Settlement - Extraction T2 L,Evacuation Shelter,90
Surface - Settlement - Industrial T1 S,Evacuation Shelter,21
Surface - Settlement - Industrial T1 M,Evacuation Shelter,42
Surface - Settlement - Industrial T2 L,Evacuation Shelter,63
Surface - Settlement - Military T1 S,Evacuation Shelter,36
Surface - Settlement - Military T1 M,Evacuation Shelter,72
Surface - Settlement - Military T2 L,Evacuation Shelter,108
Surface - Settlement - Research Bio T1 S,Evacuation Shelter,27
Surface - Settlement - Research Bio T1 M,Evacuation Shelter,54
Surface - Settlement - Research Bio T2 L,Evacuation Shelter,81
Surface - Settlement - Tourism T1 S,Evacuation Shelter,22
Surface - Settlement - Tourism T1 M,Evacuation Shelter,44
Surface - Settlement - Tourism T2 L,Evacuation Shelter,66
Surface - Hub - Extraction,Evacuation Shelter,51
Surface - Hub - Civilian,Evacuation Shelter,68
Surface - Hub - Exploration,Evacuation Shelter,36
Surface - Hub - Outpost,Evacuation Shelter,49
Surface - Hub - Scientific,Evacuation Shelter,36
Surface - Hub - Military,Evacuation Shelter,75
Surface - Hub - Refinery,Evacuation Shelter,56
Surface - Hub - High Tech,Evacuation Shelter,45
Surface - Hub - Industrial,Evacuation Shelter,50
Surface - Planetary Port - Outpost Civilian,Emergency Power Cells,68
Surface - Planetary Port - Outpost Industrial,Emergency Power Cells,68
Surface - Planetary Port - Outpost Scientific,Emergency Power Cells,68
Surface - Planetary Port - Port,Emergency Power Cells,272
Surface - Settlement - Agriculture T1 S,Emergency Power Cells,84
Surface - Settlement - Agriculture T1 M,Emergency Power Cells,168
Surface - Settlement - Agriculture T2 L,Emergency Power Cells,252
Surface - Settlement - Extraction T1 S,Emergency Power Cells,96
Surface - Settlement - Extraction T1 M,Emergency Power Cells,192
Surface - Settlement - Extraction T2 L,Emergency Power Cells,288
Surface - Settlement - Industrial T1 S,Emergency Power Cells,28
Surface - Settlement - Industrial T1 M,Emergency Power Cells,56
Surface - Settlement - Industrial T2 L,Emergency Power Cells,84
Surface - Settlement - Military T1 S,Emergency Power Cells,24
Surface - Settlement - Military T1 M,Emergency Power Cells,48
Surface - Settlement - Military T2 L,Emergency Power Cells,72
Surface - Settlement - Research Bio T1 S,Emergency Power Cells,27
Surface - Settlement - Research Bio T1 M,Emergency Power Cells,54
Surface - Settlement - Research Bio T2 L,Emergency Power Cells,81
Surface - Settlement - Tourism T1 S,Emergency Power Cells,15
Surface - Settlement - Tourism T1 M,Emergency Power Cells,30
Surface - Settlement - Tourism T2 L,Emergency Power Cells,45
Surface - Hub - Extraction,Emergency Power Cells,42
Surface - Hub - Civilian,Emergency Power Cells,42
Surface - Hub - Exploration,Emergency Power Cells,45
Surface - Hub - Outpost,Emergency Power Cells,49
Surface - Hub - Scientific,Emergency Power Cells,63
Surface - Hub - Military,Emergency Power Cells,63
Surface - Hub - Refinery,Emergency Power Cells,47
Surface - Hub - High Tech,Emergency Power Cells,59
Surface - Hub - Industrial,Emergency Power Cells,42
Orbital - Installation - Space Farm,Crop Harvesters,77
Surface - Settlement - Agriculture T1 S,Crop Harvesters,210
Surface - Settlement - Agriculture T1 M,Crop Harvesters,420
Surface - Settlement - Agriculture T2 L,Crop Harvesters,630
Surface - Hub - Civilian,Crop Harvesters,210
Orbital - Starport - Coriolis,Copper,644
Orbital - Starport - Asteroid Base,Copper,644
Orbital - Starport - Ocellus,Copper,2576
Orbital - Starport - Orbis,Copper,2576
Orbital - Outpost - Commercial,Copper,218
Orbital - Outpost - Industrial,Copper,217
Orbital - Outpost - Criminal,Copper,218
Orbital - Outpost - Civilian,Copper,218
Orbital - Outpost - Scientific,Copper,218
Orbital - Outpost - Military,Copper,218
Orbital - Installation - Satellite,Copper,85
Orbital - Installation - Comm Station,Copper,85
Orbital - Installation - Space Farm,Copper,46
Orbital - Installation - Pirate Base,Copper,57
Orbital - Installation - Mining Outpost,Copper,52
Orbital - Installation - Relay Station,Copper,88
Orbital - Installation - Military,Copper,131
Orbital - Installation - Security Station,Copper,122
Orbital - Installation - Government,Copper,93
Orbital - Installation - Medical,Copper,112
Orbital - Installation - Research Station,Copper,126
Orbital - Installation - Tourist,Copper,78
Orbital - Installation - Space Bar,Copper,75
Surface - Planetary Port - Outpost Civilian,Copper,407
Surface - Planetary Port - Outpost Industrial,Copper,407
Surface - Planetary Port - Outpost Scientific,Copper,407
Surface - Planetary Port - Port,Copper,2442
Surface - Settlement - Agriculture T1 S,Copper,21
Surface - Settlement - Agriculture T1 M,Copper,42
Surface - Settlement - Agriculture T2 L,Copper,63
Surface - Settlement - Extraction T1 S,Copper,30
Surface - Settlement - Extraction T1 M,Copper,60
Surface - Settlement - Extraction T2 L,Copper,90
Surface - Settlement - Industrial T1 S,Copper,28
Surface - Settlement - Industrial T1 M,Copper,56
Surface - Settlement - Industrial T2 L,Copper,84
Surface - Settlement - Military T1 S,Copper,30
Surface - Settlement - Military T1 M,Copper,60
Surface - Settlement - Military T2 L,Copper,90
Surface - Settlement - Research Bio T1 S,Copper,34
Surface - Settlement - Research Bio T1 M,Copper,68
Surface - Settlement - Research Bio T2 L,Copper,102
Surface - Settlement - Tourism T1 S,Copper,22
Surface - Settlement - Tourism T1 M,Copper,44
Surface - Settlement - Tourism T2 L,Copper,66
Surface - Hub - Extraction,Copper,84
Surface - Hub - Civilian,Copper,68
Surface - Hub - Exploration,Copper,178
Surface - Hub - Outpost,Copper,78
Surface - Hub - Scientific,Copper,112
Surface - Hub - Military,Copper,105
Surface - Hub - Refinery,Copper,93
Surface - Hub - High Tech,Copper,113
Surface - Hub - Industrial,Copper,83
Orbital - Starport - Coriolis,Computer Components,145
Orbital - Starport - Asteroid Base,Computer Components,145
Orbital - Starport - Ocellus,Computer Components,290
Orbital - Starport - Orbis,Computer Components,290
Orbital - Outpost - Commercial,Computer Components,50
Orbital - Outpost - Industrial,Computer Components,50
Orbital - Outpost - Criminal,Computer Components,50
Orbital - Outpost - Civilian,Computer Components,50
Orbital - Outpost - Scientific,Computer Components,50
Orbital - Outpost - Military,Computer Components,50
Orbital - Installation - Satellite,Computer Components,22
Orbital - Installation - Comm Station,Computer Components,22
Orbital - Installation - Space Farm,Computer Components,12
Orbital - Installation - Pirate Base,Computer Components,19
Orbital - Installation - Mining Outpost,Computer Components,13
Orbital - Installation - Relay Station,Computer Components,25
Orbital - Installation - Military,Computer Components,42
Orbital - Installation - Security Station,Computer Components,31
Orbital - Installation - Government,Computer Components,13
Orbital - Installation - Medical,Computer Components,31
Orbital - Installation - Research Station,Computer Components,38
Orbital - Installation - Tourist,Computer Components,13
Orbital - Installation - Space Bar,Computer Components,13
Surface - Planetary Port - Outpost Civilian,Computer Components,102
Surface - Planetary Port - Outpost Industrial,Computer Components,102
Surface - Planetary Port - Outpost Scientific,Computer Components,102
Surface - Planetary Port - Port,Computer Components,408
Surface - Settlement - Agriculture T1 S,Computer Components,14
Surface - Settlement - Agriculture T1 M,Computer Components,28
Surface - Settlement - Agriculture T2 L,Computer Components,42
Surface - Settlement - Extraction T1 S,Computer Components,30
Surface - Settlement - Extraction T1 M,Computer Components,60
Surface - Settlement - Extraction T2 L,Computer Components,90
Surface - Settlement - Industrial T1 S,Computer Components,28
Surface - Settlement - Industrial T1 M,Computer Components,56
Surface - Settlement - Industrial T2 L,Computer Components,84
Surface - Settlement - Military T1 S,Computer Components,42
Surface - Settlement - Military T1 M,Computer Components,84
Surface - Settlement - Military T2 L,Computer Components,126
Surface - Settlement - Research Bio T1 S,Computer Components,41
Surface - Settlement - Research Bio T1 M,Computer Components,82
Surface - Settlement - Research Bio T2 L,Computer Components,123
Surface - Settlement - Tourism T1 S,Computer Components,15
Surface - Settlement - Tourism T1 M,Computer Components,30
Surface - Settlement - Tourism T2 L,Computer Components,45
Surface - Hub - Extraction,Computer Components,38
Surface - Hub - Civilian,Computer Components,21
Surface - Hub - Exploration,Computer Components,49
Surface - Hub - Outpost,Computer Components,25
Surface - Hub - Scientific,Computer Components,67
Surface - Hub - Military,Computer Components,75
Surface - Hub - Refinery,Computer Components,42
Surface - Hub - High Tech,Computer Components,68
Surface - Hub - Industrial,Computer Components,38
Orbital - Installation - Military,Combat Stabilizers,48
Orbital - Installation - Security Station,Combat Stabilizers,25
Orbital - Installation - Medical,Combat Stabilizers,19
Surface - Settlement - Military T1 S,Combat Stabilizers,36
Surface - Settlement - Military T1 M,Combat Stabilizers,72
Surface - Settlement - Military T2 L,Combat Stabilizers,108
Surface - Hub - Military,Combat Stabilizers,25
Orbital - Installation - Tourist,Coffee,130
Orbital - Installation - Space Bar,Coffee,63
Surface - Settlement - Tourism T1 S,Coffee,71
Surface - Settlement - Tourism T1 M,Coffee,142
Surface - Settlement - Tourism T2 L,Coffee,213
Orbital - Starport - Coriolis,Ceramic Composites,1207
Orbital - Starport - Asteroid Base,Ceramic Composites,1207
Orbital - Starport - Ocellus,Ceramic Composites,4828
Orbital - Starport - Orbis,Ceramic Composites,4828
Orbital - Outpost - Commercial,Ceramic Composites,497
Orbital - Outpost - Industrial,Ceramic Composites,497
Orbital - Outpost - Criminal,Ceramic Composites,497
Orbital - Outpost - Civilian,Ceramic Composites,497
Orbital - Outpost - Scientific,Ceramic Composites,497
Orbital - Outpost - Military,Ceramic Composites,497
Orbital - Installation - Satellite,Ceramic Composites,85
Orbital - Installation - Comm Station,Ceramic Composites,85
Orbital - Installation - Space Farm,Ceramic Composites,77
Orbital - Installation - Pirate Base,Ceramic Composites,95
Orbital - Installation - Mining Outpost,Ceramic Composites,86
Orbital - Installation - Relay Station,Ceramic Composites,98
Orbital - Installation - Military,Ceramic Composites,238
Orbital - Installation - Security Station,Ceramic Composites,122
Orbital - Installation - Government,Ceramic Composites,154
Orbital - Installation - Medical,Ceramic Composites,155
Orbital - Installation - Research Station,Ceramic Composites,157
Orbital - Installation - Tourist,Ceramic Composites,130
Orbital - Installation - Space Bar,Ceramic Composites,125
Surface - Planetary Port - Outpost Civilian,Ceramic Composites,814
Surface - Planetary Port - Outpost Industrial,Ceramic Composites,814
Surface - Planetary Port - Outpost Scientific,Ceramic Composites,814
Surface - Planetary Port - Port,Ceramic Composites,4884
Surface - Settlement - Agriculture T1 S,Ceramic Composites,28
Surface - Settlement - Agriculture T1 M,Ceramic Composites,56
Surface - Settlement - Agriculture T2 L,Ceramic Composites,84
Surface - Settlement - Extraction T1 S,Ceramic Composites,59
Surface - Settlement - Extraction T1 M,Ceramic Composites,118
Surface - Settlement - Extraction T2 L,Ceramic Composites,177
Surface - Settlement - Industrial T1 S,Ceramic Composites,55
Surface - Settlement - Industrial T1 M,Ceramic Composites,110
Surface - Settlement - Industrial T2 L,Ceramic Composites,165
Surface - Settlement - Military T1 S,Ceramic Composites,60
Surface - Settlement - Military T1 M,Ceramic Composites,120
Surface - Settlement - Military T2 L,Ceramic Composites,180
Surface - Settlement - Research Bio T1 S,Ceramic Composites,41
Surface - Settlement - Research Bio T1 M,Ceramic Composites,82
Surface - Settlement - Research Bio T2 L,Ceramic Composites,123
Surface - Settlement - Tourism T1 S,Ceramic Composites,43
Surface - Settlement - Tourism T1 M,Ceramic Composites,86
Surface - Settlement - Tourism T2 L,Ceramic Composites,129
Surface - Hub - Extraction,Ceramic Composites,252
Surface - Hub - Civilian,Ceramic Composites,126
Surface - Hub - Exploration,Ceramic Composites,134
Surface - Hub - Outpost,Ceramic Composites,145
Surface - Hub - Scientific,Ceramic Composites,223
Surface - Hub - Military,Ceramic Composites,375
Surface - Hub - Refinery,Ceramic Composites,279
Surface - Hub - High Tech,Ceramic Composites,225
Surface - Hub - Industrial,Ceramic Composites,249
Orbital - Starport - Coriolis,CMM Composite,11261
Orbital - Starport - Asteroid Base,CMM Composite,11261
Orbital - Starport - Ocellus,CMM Composite,45044
Orbital - Starport - Orbis,CMM Composite,45044
Orbital - Outpost - Commercial,CMM Composite,3912
Orbital - Outpost - Industrial,CMM Composite,3912
Orbital - Outpost - Criminal,CMM Composite,3912
Orbital - Outpost - Civilian,CMM Composite,3912
Orbital - Outpost - Scientific,CMM Composite,3912
Orbital - Outpost - Military,CMM Composite,3912
Orbital - Installation - Military,CMM Composite,356
Surface - Planetary Port - Outpost Civilian,CMM Composite,6776
Surface - Planetary Port - Outpost Industrial,CMM Composite,6776
Surface - Planetary Port - Outpost Scientific,CMM Composite,6776
Surface - Planetary Port - Port,CMM Composite,40656
Surface - Settlement - Military T1 S,CMM Composite,356
Surface - Settlement - Military T1 M,CMM Composite,712
Surface - Settlement - Military T2 L,CMM Composite,1068
Surface - Hub - Military,CMM Composite,333
Surface - Hub - High Tech,CMM Composite,270
Surface - Planetary Port - Outpost Civilian,Building Fabricators,407
Surface - Planetary Port - Outpost Industrial,Building Fabricators,407
Surface - Planetary Port - Outpost Scientific,Building Fabricators,407
Surface - Planetary Port - Port,Building Fabricators,2442
Surface - Settlement - Agriculture T1 S,Building Fabricators,42
Surface - Settlement - Agriculture T1 M,Building Fabricators,84
Surface - Settlement - Agriculture T2 L,Building Fabricators,126
Surface - Settlement - Extraction T1 S,Building Fabricators,59
Surface - Settlement - Extraction T1 M,Building Fabricators,118
Surface - Settlement - Extraction T2 L,Building Fabricators,177
Surface - Settlement - Industrial T1 S,Building Fabricators,55
Surface - Settlement - Industrial T1 M,Building Fabricators,110
Surface - Settlement - Industrial T2 L,Building Fabricators,165
Surface - Settlement - Military T1 S,Building Fabricators,60
Surface - Settlement - Military T1 M,Building Fabricators,120
Surface - Settlement - Military T2 L,Building Fabricators,180
Surface - Settlement - Research Bio T1 S,Building Fabricators,54
Surface - Settlement - Research Bio T1 M,Building Fabricators,108
Surface - Settlement - Research Bio T2 L,Building Fabricators,162
Surface - Settlement - Tourism T1 S,Building Fabricators,29
Surface - Settlement - Tourism T1 M,Building Fabricators,58
Surface - Settlement - Tourism T2 L,Building Fabricators,87
Surface - Hub - Extraction,Building Fabricators,210
Surface - Hub - Civilian,Building Fabricators,84
Surface - Hub - Exploration,Building Fabricators,89
Surface - Hub - Outpost,Building Fabricators,290
Surface - Hub - Scientific,Building Fabricators,178
Surface - Hub - Military,Building Fabricators,333
Surface - Hub - Refinery,Building Fabricators,233
Surface - Hub - High Tech,Building Fabricators,135
Surface - Hub - Industrial,Building Fabricators,208
Orbital - Installation - Space Farm,Biowaste,153
Surface - Settlement - Agriculture T1 S,Biowaste,280
Surface - Settlement - Agriculture T1 M,Biowaste,560
Surface - Settlement - Agriculture T2 L,Biowaste,840
Surface - Hub - Civilian,Biowaste,630
Orbital - Installation - Mining Outpost,Bioreducing Lichen,172
Surface - Settlement - Extraction T1 S,Bioreducing Lichen,162
Surface - Settlement - Extraction T1 M,Bioreducing Lichen,324
Surface - Settlement - Extraction T2 L,Bioreducing Lichen,486
Surface - Hub - Extraction,Bioreducing Lichen,714
Orbital - Installation - Pirate Base,Beer,380
Orbital - Installation - Tourist,Beer,389
Orbital - Installation - Space Bar,Beer,497
Surface - Settlement - Tourism T1 S,Beer,311
Surface - Settlement - Tourism T1 M,Beer,622
Surface - Settlement - Tourism T2 L,Beer,933
Orbital - Installation - Pirate Base,Battle Weapons,23
Orbital - Installation - Military,Battle Weapons,30
Orbital - Installation - Security Station,Battle Weapons,19
Surface - Settlement - Military T1 S,Battle Weapons,24
Surface - Settlement - Military T1 M,Battle Weapons,48
Surface - Settlement - Military T2 L,Battle Weapons,72
Surface - Hub - Military,Battle Weapons,42
Orbital - Installation - Military,Basic Medicines,24
Orbital - Installation - Medical,Basic Medicines,50
Orbital - Installation - Research Station,Basic Medicines,13
Surface - Settlement - Military T1 S,Basic Medicines,36
Surface - Settlement - Military T1 M,Basic Medicines,72
Surface - Settlement - Military T2 L,Basic Medicines,108
Surface - Settlement - Research Bio T1 S,Basic Medicines,14
Surface - Settlement - Research Bio T1 M,Basic Medicines,28
Surface - Settlement - Research Bio T2 L,Basic Medicines,42
Surface - Hub - Scientific,Basic Medicines,72
Surface - Hub - Military,Basic Medicines,109
Orbital - Installation - Tourist,Animal Meat,78
Orbital - Installation - Space Bar,Animal Meat,38
Surface - Settlement - Tourism T1 S,Animal Meat,71
Surface - Settlement - Tourism T1 M,Animal Meat,142
Surface - Settlement - Tourism T2 L,Animal Meat,213
Orbital - Starport - Coriolis,Aluminium,10055
Orbital - Starport - Asteroid Base,Aluminium,10055
Orbital - Starport - Ocellus,Aluminium,40220
Orbital - Starport - Orbis,Aluminium,40220
Orbital - Outpost - Commercial,Aluminium,515
Orbital - Outpost - Industrial,Aluminium,515
Orbital - Outpost - Criminal,Aluminium,515
Orbital - Outpost - Civilian,Aluminium,515
Orbital - Outpost - Scientific,Aluminium,515
Orbital - Outpost - Military,Aluminium,515
Orbital - Installation - Satellite,Aluminium,1322
Orbital - Installation - Comm Station,Aluminium,1322
Orbital - Installation - Space Farm,Aluminium,842
Orbital - Installation - Pirate Base,Aluminium,1233
Orbital - Installation - Mining Outpost,Aluminium,921
Orbital - Installation - Relay Station,Aluminium,1033
Orbital - Installation - Military,Aluminium,1317
Orbital - Installation - Security Station,Aluminium,1774
Orbital - Installation - Government,Aluminium,1959
Orbital - Installation - Medical,Aluminium,1357
Orbital - Installation - Research Station,Aluminium,1380
Orbital - Installation - Tourist,Aluminium,1269
Orbital - Installation - Space Bar,Aluminium,1217
Surface - Planetary Port - Outpost Civilian,Aluminium,7047
Surface - Planetary Port - Outpost Industrial,Aluminium,7047
Surface - Planetary Port - Outpost Scientific,Aluminium,7047
Surface - Planetary Port - Port,Aluminium,42282
Surface - Settlement - Agriculture T1 S,Aluminium,559
Surface - Settlement - Agriculture T1 M,Aluminium,1118
Surface - Settlement - Agriculture T2 L,Aluminium,1677
Surface - Settlement - Extraction T1 S,Aluminium,632
Surface - Settlement - Extraction T1 M,Aluminium,1264
Surface - Settlement - Extraction T2 L,Aluminium,1896
Surface - Settlement - Industrial T1 S,Aluminium,585
Surface - Settlement - Industrial T1 M,Aluminium,1170
Surface - Settlement - Industrial T2 L,Aluminium,1755
Surface - Settlement - Military T1 S,Aluminium,593
Surface - Settlement - Military T1 M,Aluminium,1186
Surface - Settlement - Military T2 L,Aluminium,1779
Surface - Settlement - Research Bio T1 S,Aluminium,607
Surface - Settlement - Research Bio T1 M,Aluminium,1214
Surface - Settlement - Research Bio T2 L,Aluminium,1821
Surface - Settlement - Tourism T1 S,Aluminium,509
Surface - Settlement - Tourism T1 M,Aluminium,1018
Surface - Settlement - Tourism T2 L,Aluminium,1527
Surface - Hub - Extraction,Aluminium,2352
Surface - Hub - Civilian,Aluminium,2433
Surface - Hub - Exploration,Aluminium,2483
Surface - Hub - Outpost,Aluminium,2797
Surface - Hub - Scientific,Aluminium,2581
Surface - Hub - Military,Aluminium,2414
Surface - Hub - Refinery,Aluminium,2697
Surface - Hub - High Tech,Aluminium,2512
Surface - Hub - Industrial,Aluminium,2407
Orbital - Installation - Space Farm,Agri-Medicines,115
Surface - Hub - Civilian,Agri-Medicines,235
Orbital - Installation - Research Station,Advanced Catalysers,44
Surface - Settlement - Industrial T1 S,Advanced Catalysers,41
Surface - Settlement - Industrial T1 M,Advanced Catalysers,82
Surface - Settlement - Industrial T2 L,Advanced Catalysers,123
Surface - Settlement - Research Bio T1 S,Advanced Catalysers,95
Surface - Settlement - Research Bio T1 M,Advanced Catalysers,190
